富裕,富有
平安,安然
平和,安然平静
平安无事,安然无事
安然无恙,平安无事
安如,安若
安如磐石,安如泰山
安若,安如
安若泰山,十拿九稳
安置,安设
立足,安身
安身立命,安居乐业
安适,安逸
安泰,安乐
安妥,稳妥
同甘共苦,安危与共
安慰,慰藉
安稳,牢固
歇息,安息
安逸,安闲
安详,宁静
安闲,安适
歇息,安歇
安心,放心
安逸,清闲
安营,扎营
自暴自弃,安于现状
安在,何在
安葬,埋葬
异彩纷呈,奇光异彩
妙不可言,妙趣横生
威严,严肃
甚至,以至
鲜活,新鲜
迎接,驱逐
鲜明,明显
安枕无忧,高枕无忧
怎知,安知
安置,安顿
安置,安装
谙熟,谙习
谙习,谙熟
按部就班,循序渐进
按次,顺次
照例,按例
按摩,推拿
按捺,抑制
按期,定期
优雅,文雅
水天相接,水天一线
按时,定时
刻舟求剑,按图索骥
按语,案语
按照,根据
案牍,文案
案卷,檀卷
案语,按语
暗暗,悄悄
暗藏,潜伏
暗流,暗潮
暗淡,昏暗
暗澹,惨然
暗地里,背后
暗斗,冷战
暗度陈仓,暗渡陈仓
暗渡陈仓,暗度陈仓
暗沟,阴沟
暗害,暗杀
暗号,灯号
灯号,暗记
暗箭,冷箭
暗箭伤人,含沙射影
暗里,私下
暗码,密码
黑市,暗盘
暗杀,谋害
影射,暗射
暗示,表示
暗算,暗杀
暗射,影射
暗算,暗害
暗香,幽香
联结,联合
万古长青,万古长存
暗笑,窃笑
暗影,阴影
暗语,隐语
暗中,黑暗
黯淡,暗淡
肮脏,龌龊
肮脏,邋遢
昂首,抬头
傲睨一世,昂首望天
凹地,洼地
凹面镜,凹透镜
凹透镜,凹面镜
遨游,翱翔
熬煎,折磨
锻炼,熬炼
翱翔,飞翔
鏖战,酣战
鏖战,激战
傲岸,立崖岸
傲慢,狂妄
奥秘,秘密
傲世轻物,傲睨万物
傲睨万物,傲睨一世
傲睨万物,傲世轻物
傲雪欺霜,坚贞不屈
傲卒多败,骄兵必败
傲卒多败,骄者必败
秘密,奥秘
秘密,奥密
奥妙,玄妙
翻开,打开
携带,照顾
节奏,节拍
懊丧,悔恨
八两半斤,不相上下
八百壮士,四行孤军
才高八斗,八斗之才
八方受敌,四面楚歌
八棍子撂不着,八竿子打不着
陈腔滥调,八股
稀奇古怪,八怪七喇
八竿子打不着,八棍子撂不着
八股,陈腔滥调
八怪七喇,稀奇古怪
八门五花,五花八门
八面见光,八面玲珑
八面见光,面面俱到
八面见光,面面俱圆
八面玲珑,八面见光
八面玲珑,左右逢源
八面受敌,四面楚歌
八面威风,气势汹汹
八字帖,发草帖
深沉,深厚
自卫,侵占
波涛汹涌,惊涛骇浪
静立,肃立
快捷,快速
泼洒,倾泻
哀伤,忧伤
巴不得,恨不得
执着,固执
频率,频次
片面,全面
笔陡,陡峭
幽美,幽丽
损失,丧失
燥热,炎热
缄口不语,闭口不言
微波粼粼,微波荡漾
濒临,接近
苍翠,葱茏
影影绰绰,模模糊糊
威力,能力
与日俱增,日积月累
纠缠不清,牵扯不清
一成不变,原封不动
巡逻,巡查
明媚,明丽
传授,教授
惨不忍睹,惨绝人寰
直接,间接
匆匆,渐渐
如许,多么
心田,内心
童稚,幼稚
名贵,珍贵
醒目,夺目
唾骂,辱骂
学习,进修
浮光掠影,走马观花
谦卑,谦虚
顿时,登时
落荒而逃,一败涂地
蠕动,爬动
争执,争论
迥异,悬殊
连绵起伏,绵亘不绝
铁石心肠,我行我素
东张西望,左顾右盼
亲自,亲身
怪异,奇异
敬仰,敬重
遥不可及,高不可攀
愕然,惊诧
到处,四处
掠过,擦过
哽咽,呜咽
干预,干涉
围魏救赵,声东击西
逗引,逗弄
受到,遭到
鱼死网破,你死我活
不卑不亢,不骄不躁
改观,改变
崛起,兴起
耽误,耽搁
前所未有,史无前例
摇摇摆摆,摇摇晃晃
畅想,憧憬
紧锁,舒展
意图,企图
颓然,寂然
因小失大,舍本逐末
鼎盛,昌盛
开拓,开辟
品位,档次
气馁,泄气
馈赠,捐赠
彼此,相互
破旧,陈旧
交流,交换
奇幻,奇异
晃荡,闲逛
浓烈,浓郁
清脆,洪亮
心爱,亲爱
谦和,谦虚
圣洁,纯洁
证实,证明
操劳,劳累
辉煌,灿烂
僵直,僵硬
龙飞凤舞,挥洒自如
慰藉,抚慰
迷人,诱人
枯竭,干涸
潦倒,失意
谦逊,谦虚
奔流,奔腾
沉积,堆积
首次,初次
巴结,凑趣
巴结,逢迎
经典,典范
结结巴巴,吞吞吐吐
不厌其烦,诲人不倦
巴望,盼望
扒开,拨开
骤然,突然
恍如,仿佛
扒犁,爬犁
扒手,窃匪
扒手,窃贼
拔除,铲除
拔锚,起锚
拔苗助长,适得其反
拔苗助长,欲速不达
拔苗助长,揠苗助长
跋扈,嚣张
扶植,拔擢
跋扈,专横
进退失据,跋前疐后
跋前踬后,动辄得咎
跋山涉水,奔走风尘
跋山涉水,到处奔走
跋山涉水,翻山越岭
跋山涉水,风餐露宿
凋零,凋谢
是否,能否
形成,构成
亏待,优待
瞻仰,敬仰
阴谋诡计,诡计多端
瞻前顾后,左顾右盼
高妙,高明
幽默,诙谐
收藏,珍藏
俨然,仿佛
模摸糊糊,隐隐约约
烈日炎炎,阴雨绵绵
繁殖,繁衍
穿梭,穿越
挥汗如雨,汗流浃背
跋山涉水,抗尘走俗
跋山涉水,四处奔波
跋文,后记
把臂而谈,促膝谈心
把柄,痛处
把持,独霸
把持,垄断
把脉,评脉
把脉,切脉
把式,把势
把势,把式
把守,扼守
可以,能够
密密层层,密密丛丛
把守,拒守
把守,看守
戏弄,把玩簸弄
把稳,留心
把稳,留意
把握,掌握
把戏,魔术
罢黜,免除
罢工,歇工
而已,罢了
罢免,撤职
罢手,干休
罢手,收手
霸道,蛮横
霸道,强横
霸术,权术
霸占,并吞
霸占,攻克
霸占,攻陷
霸占,占领
白璧微瑕,瑕不掩瑜
白痴,痴人
白痴,呆子
白搭,白费
联接,连接
白发,鹤发
白发苍颜,皓首苍颜
白发银须,庞眉皓发
白费,白搭
鹤发,白发
皓首苍颜,白发苍颜
庞眉皓发,白发银须
白费,空费
白净,白皙
口语,白话
白驹过隙,光阴似箭
白腊,石蜡
白蜡,地蜡
白日,白天
白日升天,白日飞升
白日飞升,白日升天
白手,赤手
白手,空手
白手起家,自力更生
白手起家,自食其力
白叟,老人
白天,白日
沧海桑田,白云苍狗
碧眼儿,白种人
白天,白昼
白天,日间
白皙,白净
白云苍狗,沧海桑田
白种人,碧眼儿
白昼,白天
白,利剑
百般,各式
百般,各样
百般,千般
百步穿杨,弹无虚发
百尺竿头,扶摇直上
百辞莫辩,有口难言
百发百中,百步穿杨
扶摇直上,百尺竿头
有口难言,百辞莫辩
百发百中,矢无虚发
百废具兴,百废俱兴
百废俱兴,百废具兴
百孔千疮,哀鸿遍野
百孔千疮,赤地千里
百孔千疮,疮痍满目
百孔千疮,创痍满目
百孔千疮,民生凋敝
百口,合家
百口,举家
百口,全家
百里挑一,寥寥无几
百了千当,千了百当
百年不遇,千载难逢
百思不解,大惑不解
百无禁忌,童言无忌
百姓,苍生
百姓,公民
百姓,国民
百姓,黎民
隐隐约约,模模糊糊
揣摩,揣测
撤退,撤离
百姓,庶民
百叶窗,百页窗
百页窗,百叶窗
百依百顺,视为心腹
百依百顺,言听计从
百战百胜,攻无不克
百战不殆,百战百胜
百折不挠,百折不回
形容,描述
百折不挠,坚定不移
百折不挠,绝不屈服
摆布,左右
摆荡,晃动
摆荡,挥动
摆架子,搭架子
宛转,含蓄
约莫,估计
奇特,奇异
摆阔,显摆
摆列,罗列
摆列,胪列
摆弄,玩弄
摆设,安排
摆设,部署
摆设,陈设
摆设,铺排
摆脱,挣脱
摆脱,脱节
败北,失利
败北,战败
败坏,松弛
败尽家业,倾家荡产
败类,莠民
败露,败事
败落,衰落
败事,败露
败退,溃退
败兴,没趣
败行,劣行
拜把兄弟,换帖兄弟
拜把兄弟,结拜兄弟
拜别,离别
拜访,造访
拜鬼求神,求神拜佛
拜鬼求神,求神拜鬼
拜候,访谒
拜会,拜见
拜见,参见
拜年,贺年
招集,召集
蹩脚,糟糕
取长补短,扬长避短
拜托,奉求
拜托,托付
拜托,请托
拜望,拜谒
拜望,访候
拜望,探访
拜望,探望打听
拜谒,拜见
扳缠不清,纠缠不清
扳缠不清,牵丝扳藤
扳话,攀话
扳连,干连
扳连,瓜葛
扳连,牵缠
扳连,牵涉
班驳,斑驳
班门弄斧,布鼓雷门
班配,般配
班师,凯旅
般配,班配
般游,盘游
竞争,合作
壮士,勇士
枯败,枯萎
受益匪浅,收获颇丰
超常,超凡
真挚,真诚
绽开,绽放
颁发,颁布
宣布,颁布发表
颁发,发表
人才济济,人才辈出
赶快,赶紧
仰面朝天,四脚朝天
沉甸甸,轻飘飘
优秀,优良
赞赏,赞扬
沉迷,沉浸
迷失,丢失
乐意,愿意
斑白,花白
斑驳,班驳
斑驳陆离,光怪陆离
斑点,黑点
斑点,雀斑
美丽,斑斓
斑纹,花纹
搬动,挪动转移
搬家,搬场
搬家,搬迁
搬弄,挑衅
搬弄是非,挑拨离间
搬迁,搬家
挑衅,搬弄
挑拨离间,搬弄是非
板屋,木屋
板滞,呆板
版图,邦畿
版图,国界
版图,疆土
办法,法子
办法,措施
办妥,办好
管理,办理
办法,门径
办法,设施
办好,办妥
豆剖瓜分,半壁江山
旗鼓相当,半斤八两
办理,打点
办理,管理
办理,解决
办事,处事
欲言又止,半吐半吞
不即不离,半推半就
将信将疑,半信半疑
子夜,半夜
办事,服务
伙计,伴计
朋友,伴侣
陪同,伴随
随同,伴同
收成,收获
化装,扮装
拌杂,拌合
拌合,拌杂
国脉,邦本
国家荣誉,邦家之光
国交,邦交
光顾,帮衬
帮助,帮忙
帮忙,帮手
资助,帮助
捆绑,绑缚
署书,榜书
模范,榜样
当中,傍边
忧虑,忧愁
枯枝败叶,残花败柳
目中无人,傍若无人
薄暮,傍晚
篾片,傍友
包揽,包办
容隐,包庇
心怀叵测,包藏祸心
包围,包抄
窘迫,困顿
包罗,包含
包容,包涵
包罗,包括
包办,包揽
包括,包罗
应有尽有,包罗万象
包涵,包容
困绕,包围
包括,包孕
批驳,褒贬
宝物,宝贝
名贵,宝贵
大札,宝缄
浮图,宝塔
宝贝,宝物
铜山,宝穴
坚苦卓绝,饱经风霜
餍饫,饱食
警卫,保镳
收藏,保藏
连结,保持
生存,保存
掩护,保护
推荐,保举
保存,保留
守旧,保守
守卫,保卫
调养,保养
包管,保证
营垒,堡垒
人为,报酬
报酬,报答
终日,整天
陈诉,报告
汇报,报告请示
形状,外形
生命垂危,病入膏肓
固步自封,抱残守缺
矜持,拘谨
怀愁,抱恨
抱歉,抱愧
歉仄,抱歉
抱冤,抱屈
捧头,抱头
狼狈而逃,抱头鼠窜
抱屈,抱冤
诉苦,抱怨
遁世,豹隐
暴乱,暴动
狂风,暴风
罪恶滔天,暴戾恣睢
袒露,暴露
原形毕露,暴露无遗
暴动,暴乱
狠毒,暴虐
大发雷霆,暴跳如雷
歹徒,暴徒
急躁,暴躁
虐政,暴政
发作,爆发
爆竹,爆仗
爆仗,爆竹
鄙俚,卑鄙
卑躬屈膝,卑恭屈节
奴颜媚骨,卑躬屈膝
猥贱,卑贱
鬼蜮伎俩,卑劣手段
奴视,卑视
草木皆兵,杯弓蛇影
人浮于事,杯水车薪
悲凉,悲惨
追悼,悲悼
灰心,悲观
离合悲欢,悲欢离合
悲惨,悲凉
楚切,悲凄
悲伤,悲戚
悲啼,悲泣
伤心,悲伤
叹伤,悲叹
悲泣,悲啼
悲痛,悲恸
悲伤,悲痛
碑帖,碑本
碑本,碑帖
斗极,北斗
寒风,北风
勾栏,北里
存案,备案
破釜沉舟,背城借一
后手,背工
配景,背景
反面,背面
叛逆,背叛
背约,背信
背信,背约
孤注一掷,背注一掷
受宠若惊,被宠若惊
受骗,被骗
当选,被选
奔忙,奔波
奔跑,奔驰
旷达,奔放
奔驰,奔跑
奔驰,奔腾
驱驰,奔走
当地,本地
土产,本地货
天职,本分
祖籍,本籍
同族,本家
正事主,本家儿
原来,本来
舍本逐末,本末倒置
本末倒置,本末颠倒
职能,本能机能
今年,本年
资本,本钱
即日,本日
实质,本色
自己,本身
本领,本事
正事主,本事儿
个人主义,本位主义
真相,本相
本旨,本心
秉性,天性
个性难改,本性难移
本心,本意天良
来源根基,本原
本心,本旨
素质,本质
簿本,本子
笨蛋,笨伯
笨伯,笨蛋
傻里傻气,笨头笨脑
鸠拙,笨拙
瓦解,崩溃
倾圯,崩裂
迫良为娼,逼良为娼
欺压,逼迫
铤而走险,逼上梁山
传神,逼真
始祖,鼻祖
触目皆是,比比皆是
比喻,比方
等到,比及
放肆,放纵
无边无际,一望无际
办事,供职
同等看待,比量齐观
相比,比拟
连年,比年
比岁不登,比年不登
好比,比如
角逐,比赛
指手画脚,比手划脚
比年不登,比岁不登
交锋,比武
夫唱妇随,比翼双飞
青天,彼苍
相互,彼此
挥洒自如,笔底生花
卖文为活,笔耕墨耘
字迹,笔迹
条记,笔记
凭单,笔据
翰墨,笔墨
笔挺,笔直
鸾翔凤翥,笔走龙蛇
管见,鄙见
卑鄙,鄙俚
吝啬,鄙吝
猥琐,鄙陋
办事,管事
藐视,鄙视
卑鄙,鄙俗
俗不可耐,鄙俗不堪
粗言,鄙言
俗语,鄙谚
鄙视,鄙夷
愚见,鄙意
迫不得已,必不得已
肯定,必定
恭恭敬敬,必恭必敬
一定,必然
必须,必需
须要,必要
终究,毕竟
断命,毕命
一举而竟全功,毕其功于一役
终生一生没世,毕生
结业,毕业
缄口,闭口
缄口结舌,闭口无言
杜门不出,闭门不出
关门落锁,闭门塞窦
凭空捏造,闭门造车
解散,闭幕
花容月貌,闭月羞花
保护,庇护
荫庇,庇荫
寒家,敝宅
毛病,弊端
葱茏,碧绿
避忌,避讳
逃难,避祸
避讳,避忌
制止,避免
遁迹,避难
躲债,避债
边疆,边陲
相貌,边幅
界限,边界
疆域,边境
边沿,边缘
主笔,编缉
辑录,编录
纪年,编年
点窜,编削
体例,编制
编辑,编纂
入木三分,鞭辟入里
推动,鞭策
鞭笞,鞭挞
跌价,贬价
抑低,贬抑
便利,便当
燕服,便服
私函,便函
方便,便利
即是,便是
条子,便条
自制,便宜
酿成,变成
变更,变动
厘革,变革
变动,变更
变革,变化
变化无穷,变化多端
变化多端,变化无穷
幻化,变幻
变化多端,变幻莫测
变更,变换
背叛,变节
办事,就事
办事,任事
办事,做事
普遍,遍及
体无完肤,遍体鳞伤
剖白,辨白
鉴别,辨别
反驳,辩驳
谈锋,辩才
辩说,辩论
辩论,辩说
特出,彪炳
斥候,标兵
方向,标的目的
标志,标记
标记,标识表记标帜
题目,标题问题
别开生面,标新立异
口号,标语
标记,标志
漂亮,标致
尺度,标准
表明,表白
内外,表里
暴露,表露
楷模,表率
外貌,表面
评释,表明
心情,表情
表现,表示
亮相,表态
体现,表现
演出,表演
表彰,表扬
表扬,表彰
别开生面,别出机杼
自出机杼,别出心裁
外传,别传
另外,别的
别名,别号
别开生面,别具一格
别出心裁,别开生面
分别,别离
又名,别名
野史,别史
一无长物,别无长物
剖辨,别析
醉翁之意,别有用心
新奇,别致
来宾,宾客
宾朋盈门,宾客盈门
三千珠履,宾客盈庭
宾朋盈门,宾朋迎门
宾朋迎门,宾朋盈门
摈弃,摈斥
驱逐,摈除
屏弃,摈弃
光风霁月,冰壶秋月
酷寒,冰冷
冷面,冰脸
冰冷,冰凉
龙脑,冰片
不染纤尘,冰清玉洁
水火不容,冰炭不洽
雪窖冰天,冰天雪地
叛乱,兵变
师出无名,兵出无名
军多将广,兵多将广
兵书,兵法
打仗,兵戈
艨艟,兵舰
戎马,兵马
武器,兵器
战士,兵士
兵法,兵书
佳兵不祥,兵凶战危
虎帐,兵营
军种,兵种
承袭,秉承
而且,并且
草衣木食,并日而食
独一无二,并世无双
垂死,病笃
祸国殃民,病国殃民
全愈,病愈
医院,病院
货郎鼓,拨浪鼓
盘弄,拨弄
颠簸,波动
波涛,波澜
汹涌澎湃,波澜壮阔
海浪,波浪
妨害,波折
褫夺,剥夺
否极必泰,剥极必复
聚敛,剥削
吸血虫,剥削者
昆季,伯仲
驳倒,驳斥
驳斥,驳倒
非难,驳诘
靠岸,泊岸
停车,泊车
怫然作色,勃然变色
来路货,舶来品
泛爱,博爱
博学多闻,博古通今
展览会,博览会
广博,博识
宏儒硕学,博学多才
博古通今,博学多闻
屠杀,搏斗
拚命,搏命
苦命,薄命
傍晚,薄暮
软弱,薄弱虚弱
菲酌,薄酌
赔偿,补偿
增补,补充
调停,补救
修缮,补葺
补贴,补助
修理,补缀
哺养,哺育
疑神疑鬼,捕风捉影
捕捉,捕获
探员,捕快
网鱼,捕鱼
捕获,捕捉
不安分,不安本分
不安本分,不安分
不守妇道,不安于室
不守妇道,不安于位
未便,不便
稳定,不变
鄙人,不才
不理,不睬
意外,不测
不成才,不长进
不可,不成
不长进,不成才
不长进,不成材
有失体统,不成体统
不食人间烟火,不吃烟火食
从容不迫,不迟不疾
不辞劳怨,不辞劳苦
不辞劳苦,不辞劳怨
不搭嘴,不搭腔
不搭腔,不搭嘴
不合时宜,不达时宜
不搭腔,不答腔
不打不相识,不打不成相识
不打不相识,不打不成相与
不打不成相与,不打不相识
不但,不单
不光,不但
不妥,不当
不作数,不当准
天诛地灭,不得善终
茫无头绪,不得要领
不停,不断
精益求精,不断改进
不合错误,不对
未几,不多
不违农时,不夺农时
不贰,不二
铁价,不二价
不二,不贰
不胜枚举,不乏其人
非法,不法
非凡,不凡
没关系,不妨
没关系,不妨事
轻视,不放在眼里
难分轩轾,不分高下
不顾曲直,不分皁白
不够,不敷
不顺手,不伏手
不服水土,不伏水土
不平,不服
水土不服,不服水土
不应,不该
吞声忍气,不敢则声
你死我活,不共戴天
道貌岸然,不苟言笑
不敷,不够
未入流,不够格
掉臂,不顾
不分皁白,不顾曲直
不拘小节,不顾外表
悍然不顾,不顾一切
不但,不光
不外,不过
小心翼翼,不寒而栗
欠好,不好
分歧,不合
不对,不合错误
不达时宜,不合时宜
反面,不和
半推半就,不即不离
不可胜数,不计其数
欠安,不佳
不露锋芒,不见圭角
不断,不竭
不但,不仅
风行一时,不胫而走
未几,不久不多
不顾外表,不拘小节
未定,不决
不停,不绝
不易之论,不刊之论
不胜,不堪
不行,不可
多如牛毛,不可偻指算
难以想象,不可思议
咄咄逼人,不可一世
不能,不克不及
不愿,不肯
烦懑,不快
不稂不莠,不郎不秀
不郎不秀,不稂不莠
坐享其成,不劳而获
不睬,不理
倒霉,不利
不意,不料
不惜,不吝
不吝指教,不吝金玉
不吝珠玉,不吝指教
不吝指教,不吝珠玉
不留心,不留神
不留神,不留心
杀鸡取卵,不留余地
不见圭角,不露锋芒
不露锋芒,不露圭角
不露声色,不露神色
不露神色,不露声色
稳定,不乱
不正经,不伦不类
岂论,不论
不落俗套,不落窠臼
不落窠臼,不落俗套
难免,不免
未免,不免难免
不约而合,不谋而合
不克不及,不能
不能胜数,不能尽数
不能尽数,不能胜数
欲罢不能,不能自休
不能自制,不能自已
不能自已,不能自制
不宁奈,不宁不奈
不宁耐,不宁不耐
不宁不奈,不宁奈
不宁不耐,不宁耐
数奇,不偶
中庸之道,不偏不倚
不屈,不平
萍水相逢,不期而遇
生吞活剥,不求甚解
不平,不屈
奋不顾身,不屈不挠
否则,不然
冰清玉洁,不染纤尘
克日,不日
幸不辱命,不辱使命
不中听,不入耳
惠而不费,不伤脾胃
处境尴尬,不上不下
失慎,不慎
不堪,不胜
不乏其人,不胜枚举
昏迷不醒,不省人事
时时,不时
不识时务,不识时变
不识时变,不识时务
不识之无,不识一丁
不识一丁,不识之无
不吃烟火食,不食人间烟火
不安于室,不守妇道
不伏手,不顺手
非死即伤,不死即伤
不绝,不停
欠亨,不通
差别,不同
与众不同,不同凡响
不当,不妥
不过,不外
有良心,不忘本
不夺农时,不违农时
不惟,不唯
不唯,不惟
不言而喻,不问可知
吊儿郎当,不务正业
不断,不息
不吝,不惜
平分秋色,不相上下
断绝往来,不相闻问
不用,不消
不可,不行
不断,不休
囚首垢面,不修边幅
生而知之,不学而能
观,不雅
不雅,不雅观
不问可知,不言而喻
不厌求详,不厌其详
不厌其详,不厌求详
没关系,不要紧
纷歧,不一
所在多有,不一而足
天经地义,不移至理
尽心尽力,不遗余力
漫不经心,不以为意
相同,不异
不刊之论,不易之论
不料,不意
不知去向,不翼而飞
不该,不应
不消,不用
毋须着急,不用着急
忍不住,不由得
情不自禁,不由自主
不料,不虞
不肯,不愿
不谋而合,不约而合
不谋而合,不约而同
永远贬抑,不再任用
未曾,不曾
不伦不类,不正经
过河拆桥,不知恩义
不翼而飞,不知去向
何足道哉,不值一提
不但,不只
不入耳,不中听
禁绝,不准
天南地北,不着边际
蚍蜉撼树,不自量力
不敷,不足
不足挂齿,不足齿数
不足齿数,不足挂齿
无足挂齿,不足介意
不足为凭,不足为据
不足为据,不足为凭
屡见不鲜,不足为奇
不当准,不作数
不当准,不作准
拂尘,布掸子
传教,布道
通告,布告
背景,布景
结构,布局
排列,布列
布疋,布匹
救济,布施
布匹,布疋
平民,布衣
贫贱交,布衣交
布衣蔬食,布衣粝食
布衣粝食,布衣蔬食
微时之交,布衣之交
排阵,布阵
部署,布置
步卒,步兵
稳扎稳打,步步为营
阵势,步地
步骤,步调
队伍,步队
步调,步伐
办妥,搞妥
半壁河山,半壁江山
步辇儿,步碾儿
追随骥尾,步人后尘
步辇儿,步行
步调,步骤
步兵,步卒
队伍,部队
部门,部分
部分,部门
部属,部下
下属,部属
本子,簿本
本子,簿子
怒目,瞋目
捋臂张拳,擦拳磨掌
捋臂张拳,擦拳抹掌
捋臂张拳,擦掌摩拳
捋臂张拳,擦掌磨拳
推测,猜测
推测,猜度
猜疑,猜忌
豁拳,猜拳
料想,猜想
困惑,猜疑
料中,猜中
学富五车,才当曹斗
才华,才调
本领,才干
学富五车,才高八斗
目空一切,才高气傲
才气,才华
本领,才具
本领,才力
本领,才略
才气,才能
才华,才气
天才横溢,才气纵横
才思,才情
秀士,才人
才情,才思
本领,才智
本领,材干
材艺,材伎
质料,材料
材伎,材艺
玉帛,财宝
钱财,财帛
产业,财产
财产,财富
财货,财贿
财贿,财货
财源,财路
见利忘义,财迷心窍
财运,财气
财政,财务
财路,财源
财气,财运
财务,财政
富翁,财主
撤消,裁撤
酌定,裁夺
成衣,裁缝
淘汰,裁减
评判员,裁判员
裁员,裁人
淘汰,裁汰
裁人,裁员
购买,采办
收罗,采集
采取,采纳
接纳,采取
挑撰,采选
接纳,采用
访拿,踩缉
践踏,踩踏
蹂躏踹踏,踩踏辚轹
各半,参半
乱七八糟,参差不齐
观光,参观
到场,参加
他山之石,参考之资
商讨,参议
到场,参与
到场,参预
披星带月,餐风宿露
披星带月,餐风宿雨
披星带月,餐风饮露
暴虐,残暴
残余,残存
冷炙,残羹
践踏糟踏,残害
暴虐,残酷
凋零,残落
肆虐,残虐
残缺,残破
残破,残缺
暴虐,残忍
屠杀,残杀
半壁江山,残山剩水
半壁江山,荆棘铜驼
渣滓,残余
冷炙,残
半斤八两,各有千秋
半斤八两,工力悉敌
惨怆,惨恻
惨恻,惨怆
昏暗,惨淡
暴虐,惨酷
凄惨,惨痛
天昏地暗,惨无天日
辉煌光耀,灿烂
绚丽,灿艳
匆匆,仓促
急忙,仓猝
仓促,仓皇
堆栈,仓库
急忙,仓卒
祸乱滔天,沧海横流
太仓一粟,沧海微尘
九牛一毛,沧海一粟
惨白,苍白
葱翠,苍翠
迷茫,苍茫
苍茫,苍莽
彼苍,苍天
厮役,苍头
埋没,藏匿
立足,藏身
存身,藏身安身
图书馆,藏书楼
练习,操练
抚琴,操琴
费心,操心
练习,操演
利用,操纵
操纵,操作
驾驭,操作把持
初创,草创
底稿,草稿
滥杀无辜,草菅人命
马虎,草率
草泽,草莽
凉帽,草帽
牛山濯濯,草木不生
惊弓之鸟,草木惊心
起草,草拟
喽啰,草头神
茅舍,草屋
芒鞋,草鞋
草泽,草野
并日而食,草衣木食
草野,草泽
厕纸,草纸
书籍,册本
封爵,册封
书页,册页
侧艳,侧丽
侧丽,侧艳
茅厕,厕所
草纸,厕纸
揣测,测度
丈量,测量
考试,测验
尝试,测验考试
拆字,测字
发动,策动
筹谋,策划
盘算,策画
计谋,策略
接应,策应
屡见不鲜,层出不穷
条理,层次
井井有条,层次分明
不足为奇,层见迭出
井井有条,层序分明
加入,插手
加入,插足
核办,查办
检察,查察
检查,查抄
核对,查对
察访,查访
考核,查核
核办,查究
检察,查看
覆按,查考
盘问,查问
盘问,查询
调查,查询拜访
检验,查验
跑堂,茶房
茶室,茶馆
谈话会,茶话会
茶室,茶楼
墨绿,茶青
茶楼,茶室
茶楼,茶肆
查访,察访
观察,察看
鉴貌辨色,察言观色
歧路,岔路
歧路,岔路支路
惊奇,诧异
差异,差别
不对,差池
不对,差错
低劣,差劲
驱使,差遣
警察,差人
完场,拆档
散伙,拆伙
捣乱,拆台
半斤八两,平分秋色
测字,拆字
木炭,柴炭
虎豹,豺狼
扶持,搀扶
扶助,搀扶帮助
拌合,搀合
拌合,搀和
陷害,谗谄
诽语,谗言
垂涎欲滴,馋涎欲滴
贪嘴,馋嘴
牵累,缠累
缱绻,缠绵
裹足,缠足
连任,蝉联
产物,产品
孕育发生,产生
产品,产物
财产,产业
分析,阐发
分析,阐明
发挥,阐扬
轰动,颤动
半斤八两,旗鼓相当
半斤八两,势均力敌
盛大,昌大
兴盛,昌隆
兴盛,昌盛
放肆,猖獗
放肆,猖狂
尊长,长辈
优点,长处
是非,长短
犬牙交错,长短不一
鹘程万里,长风万里
主座,长官
上进,长进
恒久,长久
漫空,长空
长逝,长眠
长寿,长命
天保九如,长命百岁
恒久,长期
蛇矛,长枪
势如破竹,长驱直入
永日,长日
永生,长生
天保九如,长生不老
永劫,长时
长眠,长逝
浩叹,长叹
远程,长途
多财善贾,长袖善舞
永夜,长夜
老小,长幼
善于,长于
浩叹,长吁
对天长叹,长吁短叹
父老,长者
宗子,长子
试试,尝尝
见微知着,尝鼎一脔
一叶知秋,尝鼎一
实验,尝试
归还,偿还
枕戈待旦,常备不懈
每每,常常
通例,常规
老例,常例
凡人,常人
平日,常日
知识,常识
园地,场地
场所,场合
局面,场合排场
局势,场面地步
场合,场所
洞开,敞开
明亮,敞亮
通畅,畅达
开怀,畅怀
痛快酣畅,畅快
各抒己见,畅所欲言
泛论,畅谈
流通,畅通
融会,畅通领悟
流通,畅通流畅
无阻畅通,畅通无阻
兴旺,畅旺
脱销,畅销
舒怀,畅意
痛饮,畅饮
提倡,倡导
妓院,倡寮
提倡,倡始
发起,倡议
曲稿,唱本
手本,抄本
半晌,片刻
搜劫,抄掠
半数,对折
水泄不通,风雨不透
乐滋滋,气呼呼
凌驾,超出
高出,超出跨越
超级,超等
逾额,超额
卓荦不群,超凡入圣
凌驾,超过
高出,超过跨过
超等,超级
卓荦不群,超绝群伦
褴褛,破烂
超群绝伦,超群出众
超群出众,超群绝伦
逸群绝俗,超群脱俗
飘逸,超脱
飘逸,超逸
逾越,超越
出色,超卓
唇亡齿寒,巢毁卵破
穴居野处,巢木居野
唇亡齿寒,巢倾卵破
岌岌可危,朝不保夕
岌岌可危,朝不虑夕
清早,朝晨
朝梁暮晋,朝梁暮陈
朝梁暮陈,朝梁暮晋
生机,朝气
生机勃勃,朝气蓬勃
朝秦暮楚,朝三暮四
进取,朝上进步
反复无常,朝四暮三
旦夕,朝夕
早霞,朝霞
向阳,朝阳
讽刺,嘲讽
揶揄,嘲弄
讽刺,嘲笑
戏弄,嘲谑
潮水,潮流
潮流,潮水
打骂,吵架
喧华,吵闹
烦吵,吵杂
口角,吵嘴
